rank,id,user_id,user_login,user_name,game_id,game_name,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids
90,315188956145,660679740,yatakabs,やす_,1833694612,Vampire Survivors,live,配信の安定性テスト兼たぶんコミュニケーション,40,2025-12-09T12:30:54Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_yatakabs-{width}x{height}.jpg,
91,315250086387,457701337,nekop4nchan,くらえねこぱんち,516575,VALORANT,live,【顔出し】早朝すっぴんスイフト部,40,2025-12-10T21:31:26Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_nekop4nchan-{width}x{height}.jpg,
92,315249705331,714463400,teramotyo,てらもちょ,515025,Overwatch 2,live,SUP やらせていただきます,40,2025-12-10T18:03:11Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_teramotyo-{width}x{height}.jpg,
93,315201927794,1072075373,hanme___2,_はんめ_,498592,I'm Only Sleeping,live,【かまいたちの夜ペンションシュプール編】24時間配信チャレンジ,40,2025-12-10T12:00:41Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_hanme___2-{width}x{height}.jpg,
94,315203777010,772733675,0pirikara0,ぴりからっ,166649486,Hatsune Miku: Project DIVA Mega Mix+,live,おは,39,2025-12-10T21:57:54Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_0pirikara0-{width}x{height}.jpg,
95,315248216307,806896128,wanuta_v,わぬ太,209738946,Wuthering Waves,live,【 #鳴潮 / 完全初見 】連星任務 / アンコ🐑「小さいメェたちの大きな冒険」🐊💗,39,2025-12-10T11:33:01Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_wanuta_v-{width}x{height}.jpg,
96,315193704433,1253493782,shio_mqruuu,しお_32,491931,Escape from Tarkov,live,【PVP/Lv20】タスクっておいしいんですかね🔰たるこふ51日目,38,2025-12-10T14:15:34Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_shio_mqruuu-{width}x{height}.jpg,
97,315202551282,1067973783,mumem536,むめむめ,509660,Art,live,起きた！（sf6⇒art）  @mumem536,36,2025-12-10T13:45:46Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_mumem536-{width}x{height}.jpg,
98,315192692593,1012443264,oboro_channel,オボロちゃんねる,66170,Warframe,live,古の同盟待機テンノ[ネタバレ注意],35,2025-12-10T11:04:32Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_oboro_channel-{width}x{height}.jpg,
99,315202939506,125501654,chiinuna,ちぃぬな,491487,Dead by Daylight,live,【初見さん大歓迎】✿  淫キャうさぎに縛られてみる？💜🐰DBD参加◎ ✿ @chiinuna,34,2025-12-10T15:25:30Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_chiinuna-{width}x{height}.jpg,
100,315202914290,225739309,nanaosino,ななおしの,491931,Escape from Tarkov,live,【🔰初心者さんに優しい配信質問◯】遅れましたすみませんえん,34,2025-12-10T15:17:19Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_nanaosino-{width}x{height}.jpg,
